arm,pair,b_id,slug,file_hit,sym_hit,file_frac,sym_frac,jaccard,n_gold_files,n_gold_syms
null,-,django__django-16333,django,False,False,0.0,0.0,0.0021645021645021645,1,1
null,-,django__django-16429,django,False,False,0.0,0.0,0.0,1,1
null,-,django__django-16454,django,True,False,1.0,0.0,0.01276595744680851,1,3
null,-,django__django-16485,django,False,False,0.0,0.0,0.004347826086956522,1,1
null,-,django__django-16502,django,False,False,0.0,0.0,0.024096385542168676,1,3
null,-,django__django-16527,django,False,False,0.0,0.0,0.0021645021645021645,1,1
null,-,django__django-16560,django,False,True,0.0,0.2,0.02748414376321353,2,5
null,-,django__django-16569,django,False,False,0.0,0.0,0.008620689655172414,1,1
null,-,django__django-16612,django,False,False,0.0,0.0,0.00646551724137931,1,1
null,-,django__django-16631,django,True,False,0.5,0.0,0.03054989816700611,2,4
null,-,django__django-16642,django,False,False,0.0,0.0,0.0,1,1
null,-,django__django-16661,django,False,False,0.0,0.0,0.025,1,1
null,-,django__django-16662,django,True,False,1.0,0.0,0.010683760683760684,1,1
null,-,django__django-16667,django,False,False,0.0,0.0,0.0021645021645021645,1,1
null,-,django__django-16801,django,False,False,0.0,0.0,0.0211864406779661,1,2
null,-,django__django-16877,django,False,False,0.0,0.0,0.018789144050104383,1,2
null,-,django__django-16899,django,False,False,0.0,0.0,0.01079913606911447,1,1
null,-,django__django-16901,django,False,False,0.0,0.0,0.016877637130801686,1,1
null,-,django__django-16938,django,False,False,0.0,0.0,0.008620689655172414,2,2
null,-,django__django-16950,django,True,False,1.0,0.0,0.02127659574468085,1,1
null,-,django__django-17029,django,False,False,0.0,0.0,0.0021645021645021645,1,1
null,-,django__django-17084,django,False,False,0.0,0.0,0.010706638115631691,1,1
null,-,django__django-9296,django,False,False,0.0,0.0,0.004291845493562232,1,1
null,-,sphinx-doc__sphinx-10323,sphinx,False,False,0.0,0.0,0.002631578947368421,1,1
null,-,sphinx-doc__sphinx-10435,sphinx,False,False,0.0,0.0,0.002583979328165375,1,1
null,-,sphinx-doc__sphinx-10466,sphinx,False,False,0.0,0.0,0.013054830287206266,1,1
null,-,sphinx-doc__sphinx-10614,sphinx,False,False,0.0,0.0,0.015189873417721518,1,1
null,-,sphinx-doc__sphinx-10673,sphinx,False,False,0.0,0.0,0.02358490566037736,3,7
null,-,sphinx-doc__sphinx-11445,sphinx,False,False,0.0,0.0,0.005012531328320802,1,1
null,-,sphinx-doc__sphinx-11510,sphinx,False,False,0.0,0.0,0.09375,1,2
null,-,sphinx-doc__sphinx-7440,sphinx,False,False,0.0,0.0,0.002564102564102564,1,2
null,-,sphinx-doc__sphinx-7590,sphinx,False,False,0.0,0.0,0.05555555555555555,3,8
null,-,sphinx-doc__sphinx-7748,sphinx,True,False,1.0,0.0,0.045351473922902494,1,3
null,-,sphinx-doc__sphinx-7757,sphinx,True,True,1.0,1.0,0.020512820512820513,1,1
null,-,sphinx-doc__sphinx-7910,sphinx,True,False,1.0,0.0,0.015706806282722512,1,1
null,-,sphinx-doc__sphinx-7985,sphinx,False,False,0.0,0.0,0.015037593984962405,1,1
null,-,sphinx-doc__sphinx-8056,sphinx,False,False,0.0,0.0,0.017543859649122806,1,3
null,-,sphinx-doc__sphinx-8120,sphinx,True,False,0.5,0.0,0.020356234096692113,2,2
null,-,sphinx-doc__sphinx-8265,sphinx,True,False,1.0,0.0,0.020202020202020204,1,2
null,-,sphinx-doc__sphinx-8269,sphinx,False,False,0.0,0.0,0.0,1,1
